price_date,close_price
2019-01-02,91.2
2019-01-03,90.76
2019-01-04,92.89
2019-01-07,97.96
2019-01-08,98.6
2019-01-09,97.17
2019-01-10,96.41
2019-01-11,97.28
2019-01-14,97.23
2019-01-15,95.95
2019-01-16,93.86
2019-01-17,94.57
2019-01-18,94.66
2019-01-22,95.73
2019-01-23,94.44
2019-01-24,94.56
2019-01-25,96.92
2019-01-28,95.62
2019-01-29,96.2
2019-01-30,96.04
2019-01-31,96.83
2019-02-01,96.69
2019-02-04,98.54
2019-02-05,98.1
2019-02-06,97.79
2019-02-07,98.29
2019-02-08,97.65
2019-02-11,97.6
2019-02-12,98.08
2019-02-13,98.56
2019-02-14,98.53
2019-02-15,98.85
2019-02-19,99.05
2019-02-20,99.19
2019-02-21,98.12
2019-02-22,97.11
2019-02-25,97.28
2019-02-26,96.49
2019-02-27,95.77
2019-02-28,96.33
2019-03-01,96.36
2019-03-04,95.27
2019-03-05,95.47
2019-03-06,100.35
2019-03-07,103.16
2019-03-08,102.4
2019-03-11,103.84
2019-03-12,102.45
2019-03-13,102.56
2019-03-14,100.65
2019-03-15,99.86
2019-03-18,101.03
2019-03-19,101.31
2019-03-20,101.35
2019-03-21,101.41
2019-03-22,101.43
2019-03-25,101.96
2019-03-26,101.77
2019-03-27,104.22
2019-03-28,103.47
2019-03-29,105.04
2019-04-01,103.72
2019-04-02,104.11
2019-04-03,104.71
2019-04-04,105.63
2019-04-05,105.99
2019-04-08,102.44
2019-04-09,102.6
2019-04-10,103.43
2019-04-11,104.65
2019-04-12,104.45
2019-04-15,106.81
2019-04-16,106.31
2019-04-17,108.0
2019-04-18,108.67
2019-04-22,108.2
2019-04-23,109.3
2019-04-24,110.21
2019-04-25,110.76
2019-04-26,109.94
2019-04-29,110.98
2019-04-30,111.28
2019-05-01,109.65
2019-05-02,109.45
2019-05-03,108.82
2019-05-06,108.62
2019-05-07,105.45
2019-05-08,106.11
2019-05-09,105.64
2019-05-10,104.02
2019-05-13,99.34
2019-05-14,98.75
2019-05-15,100.2
2019-05-16,100.89
2019-05-17,100.39
2019-05-20,100.06
2019-05-21,99.77
2019-05-22,99.57
2019-05-23,97.46
2019-05-24,98.42
2019-05-28,97.27
2019-05-29,95.32
2019-05-30,98.31
2019-05-31,101.59
2019-06-03,100.69
2019-06-04,100.69
2019-06-05,100.29
2019-06-06,102.22
2019-06-07,102.64
2019-06-10,103.78
2019-06-11,106.53
2019-06-12,108.05
2019-06-13,108.66
2019-06-14,110.31
2019-06-17,108.13
2019-06-18,109.47
2019-06-19,109.37
2019-06-20,110.79
2019-06-21,112.19
2019-06-24,112.71
2019-06-25,108.95
2019-06-26,109.07
2019-06-27,108.14
2019-06-28,107.39
2019-07-01,110.09
2019-07-02,109.08
2019-07-03,109.75
2019-07-05,109.64
2019-07-08,110.26
2019-07-09,111.49
2019-07-10,111.69
2019-07-11,110.97
2019-07-12,112.43
2019-07-15,111.75
2019-07-16,112.32
2019-07-17,112.25
2019-07-18,110.12
2019-07-19,108.2
2019-07-22,107.55
2019-07-23,105.49
2019-07-24,106.24
2019-07-25,106.55
2019-07-26,106.1
2019-07-29,103.84
2019-07-30,101.49
2019-07-31,101.75
2019-08-01,97.69
2019-08-02,96.87
2019-08-05,92.86
2019-08-06,92.72
2019-08-07,92.38
2019-08-08,92.92
2019-08-09,90.09
2019-08-12,91.0
2019-08-13,94.6
2019-08-14,93.17
2019-08-15,93.14
2019-08-16,93.71
2019-08-19,96.2
2019-08-20,93.63
2019-08-21,96.08
2019-08-22,97.21
2019-08-23,95.16
2019-08-26,95.87
2019-08-27,96.75
2019-08-28,99.6
2019-08-29,97.67
2019-08-30,101.53
2019-09-03,101.99
2019-09-04,105.0
2019-09-05,107.63
2019-09-06,109.62
2019-09-09,108.9
2019-09-10,109.93
2019-09-11,111.36
2019-09-12,111.94
2019-09-13,112.86
2019-09-16,109.56
2019-09-17,111.04
2019-09-18,112.26
2019-09-19,111.74
2019-09-20,111.07
2019-09-23,113.42
2019-09-24,113.37
2019-09-25,112.95
2019-09-26,112.46
2019-09-27,114.3
2019-09-30,114.16
2019-10-01,113.25
2019-10-02,113.07
2019-10-03,112.92
2019-10-04,115.73
2019-10-07,112.16
2019-10-08,112.48
2019-10-09,112.99
2019-10-10,113.91
2019-10-11,115.19
2019-10-14,115.02
2019-10-15,116.51
2019-10-16,116.9
2019-10-17,117.37
2019-10-18,116.98
2019-10-21,116.69
2019-10-22,118.44
2019-10-23,116.63
2019-10-24,115.6
2019-10-25,114.55
2019-10-28,113.42
2019-10-29,112.58
2019-10-30,112.06
2019-10-31,110.4
2019-11-01,111.74
2019-11-04,112.21
2019-11-05,113.28
2019-11-06,112.79
2019-11-07,112.47
2019-11-08,110.35
2019-11-11,108.93
2019-11-12,107.69
2019-11-13,108.4
2019-11-14,108.75
2019-11-15,108.85
2019-11-18,109.06
2019-11-19,106.88
2019-11-20,107.26
2019-11-21,108.0
2019-11-22,109.04
2019-11-25,112.39
2019-11-26,95.26
2019-11-27,93.03
2019-11-29,91.46
2019-12-02,89.47
2019-12-03,88.65
2019-12-04,89.26
2019-12-05,90.8
2019-12-06,92.24
2019-12-09,93.2
2019-12-10,91.55
2019-12-11,91.5
2019-12-12,92.55
2019-12-13,93.59
2019-12-16,94.22
2019-12-17,92.04
2019-12-18,91.83
2019-12-19,92.1
2019-12-20,94.06
2019-12-23,92.44
2019-12-24,93.23
2019-12-26,92.08
2019-12-27,92.84
2019-12-30,93.49
2019-12-31,94.05
